-3133;The AddressSideBinaryData field is empty or missing;AddressSideBinaryData must contain your document or image as BASE64 binary data. Please make sure that you did not send a null string. If it is missing, the problem might be caused by the SOAP package you use. Please post your code on our forum for further assistance.
-3134;File name provided in ImageSideFileType does not exist for this user;The provided file name does not exist for this user. The file name may be inaccurate or it may have been deleted.
-3135;File name provided in AddressSideFileType does not exist for this user;The provided file name does not exist for this user. The file name may be inaccurate or it may have been deleted.
-3136;Image side: One or more of the fields is missing from the template;One or more of the merge fields provided for the image side does not correspond to a place holder in the template specified.
-3137;Address side: One or more of the fields is missing from the template;One or more of the merge fields provided for the address side does not correspond to a place holder in the template specified.
-3138;Image side: The XML merge data is invalid;The XML provided as the merge data source for the image side is invalid.
-3139;Address side: The XML merge data is invalid;The XML provided as the merge data source for the address side is invalid.
-3142;Image side: This file cannot be used as a template;The file specified for the image side cannot be used as a template.
-3143;Address side: This file cannot be used as a template;The file specified for the address side cannot be used as a template.
-3144;The XML merge data is invalid;The XML data provided as merge data is invalid.
-3145;One or more of the fields in the XML merge data is missing from the selected template;The XML must not contain a field that does not appear in the template. Read more.
-3146;Specified pre-uploaded document does not exist;The specified template does not exist or the user does not have permissions to use it.
-3147;Uploading a file and a template in the same request is not allowed;It is not possible to upload a file and refer to a template in the same request. Please check the syntax of FileExtension in your code.
-3209;No more users allowed;This account has reached the limit for the number of users allowed. To increase this limit, please Contact Us.
-3210;Last administrator for account;This user is the last administrator for this account. At least one user with Administrator permissions must exist in an account.
-3211;User does not exist for this account;This user does not exist for this account.
-3212;One or more of the parameters are invalid;Please verify that your parameter names appear in this list.
-3213;Invalid value: General_Username;An allowed value must be used
-3214;Invalid value: General_Description;An allowed value must be used
-3215;Invalid value: General_Timezone;An allowed value must be used
-3216;Invalid value: General_WordMode;An allowed value must be used
-3217;Invalid value: Security_Password;An allowed value must be used
-3218;Invalid value: Security_AdministrativeEmail;An allowed value must be used
-3219;Invalid value: Security_KeepContentOnServer;An allowed value must be used
-3220;Invalid value: Letters_PrintColor;An allowed value must be used
-3221;Invalid value: Letters_PrintSides;An allowed value must be used
-3222;Invalid value: Postcards_DefaultScaling;An allowed value must be used
-3223;Invalid value: Feedback_FeedbackType;An allowed value must be used
-3224;Invalid value: Feedback_Email_WhenToSend_EmailReceived;An allowed value must be used
-3225;Invalid value: Feedback_Email_WhenToSend_Completed;An allowed value must be used
-3226;Invalid value: Feedback_Email_WhenToSend_Error;An allowed value must be used
-3227;Invalid value: Feedback_Email_WhenToSend_BatchErrors;An allowed value must be used
-3228;Invalid value: Feedback_Email_DefaultFeedbackEmail;An allowed value must be used
-3229;Invalid value: Feedback_Email_Authentication;An allowed value must be used
-3230;Invalid value: Feedback_Post_WhenToSend_Completed;An allowed value must be used
-3231;Invalid value: Feedback_Post_WhenToSend_Error;An allowed value must be used
-3232;Invalid value: Feedback_Post_WhenToSend_BatchErrors;An allowed value must be used
-3233;Invalid value: Feedback_Post_FeedbackURL;An allowed value must be used
-3234;Invalid value: Feedback_Post_Authentication;An allowed value must be used
-3235;Invalid value: Feedback_Soap_WhenToSend_Completed;An allowed value must be used
-3236;Invalid value: Feedback_Soap_WhenToSend_Error;An allowed value must be used
-3237;Invalid value: Feedback_Soap_WhenToSend_BatchErrors;An allowed value must be used
-3238;Invalid value: Feedback_Soap_FeedbackURL;An allowed value must be used
-3239;Invalid value: Feedback_Soap_Authentication;An allowed value must be used
-3240;Invalid parameters array;Use a (x,1) array (zero based)
-3150;General System Error;Contact technical support
-3160;File does not exist;The file name specified does not exist. Make sure you are using the <file name>.<file extension> format.
-3161;Insufficient Permissions;This user does not have permissions to access this file. See File Permissions.
-3162;Too many uploaded files;This account has reached its file quota. Check the System Limitations page.
-3163;No files for the account;No files were uploaded for this account.
-3164;Only Administrator can upload file as account;Only users with Administrator permissions are allowed to upload a file with Account permissions. See File Permissions.
-3165;User does not have an API key assigned;There is no API Key for this user. Please generate one first.
-3500;Warning: too many attempts were made for this method;Check the System Limitations page.
-4001;The Username field is empty or missing;Username is a required field. Please make sure that you did not send a null string. If it is missing, the problem might be caused by the SOAP package you're using. Contact technical support for further assistance.
-4002;The Password field is empty or missing;Password is a required field. Please make sure that you did not send a null string. If it is missing, the problem might be caused by the SOAP package you use. Contact technical support for further assistance.
-4003;The MyDescription field is empty or missing;Please make sure that you did not send a null string. If it is missing, the problem might be caused by the SOAP package you use. Please post your code on our forum for further assistance.
-4004;The FileExtension field is empty or missing;FileExtension is a required field. Please make sure that you did not send a null string. If it is missing, the problem might be caused by the SOAP package you use. Contact technical support for further assistance.
-4005;The FileBinaryData field is empty or missing;FileBinaryData is a required field. Please make sure that you did not send a null string. If it is missing, the problem might be caused by the SOAP package you use. Please post your code on our forum for further assistance.
-4006;The Address1 field is empty or missing;Address1 is a required field. Please make sure that you did not send a null string. If it is missing, the problem might be caused by the SOAP package you use. Please post your code on our forum for further assistance.
-4007;The City field is empty or missing;City is a required field. Please make sure that you did not send a null string. If it is missing, the problem might be caused by the SOAP package you use. Contact technical support for further assistance.
-4008;The Attention1 or Company fields are empty or missing;At least one of either Attention1 or Company fields must contain a value. Please make sure that you did not send a null string. If it is missing, the problem might be caused by the SOAP package you use. Contact technical support for further assistance.
-4009;The ID field is empty or missing;ID is a required field. ID should contain the ID of the letter you querying about. Please make sure that you did not send a null string. If it is missing, the problem might be caused by the SOAP package you use. Contact technical support for further assistance.
-4010;The MinID field is empty or missing;MinID is a required field. MinID should contain the ID of the first letter in the range you querying about. Please make sure that you did not send a null string. If it is missing, the problem might be caused by the SOAP package you use. Contact technical support for further assistance.
-4011;The MaxID field is empty or missing;MaxID is a required field. MaxID should contain the ID of the last letter in the range you are querying about. Please make sure that you did not send a null string. If it is missing, the problem might be caused by the SOAP package you use. Contact technical support for further assistance.
-4013;Invalid ID or IDs;ID field should be either an integer, a range of integers (e.g., 1021984-1021994) or a list of comma separated integers (e.g., 1021984,1021985,1021986).
-4014;The MergeData field is empty or missing;MergeData is a required field. MergeData should contain the XML or binary representation of the XML to be used as the merge data source. Please make sure that you did not send a null string. If it is missing, the problem might be caused by the SOAP package you use. Contact technical support for further assistance.
-4015;Missing field: APIKey;The APIKey field is required.
